wordid,lemma,synsetid,senseid,pos,lexdomainid,definition,lastmodifier,sumo
51421,matino,302262136,50225,a,0,nasa tamang pagiisip,1,None
49082,maayos,302262136,50226,a,0,nasa tamang pagiisip,1,None
51420,hanapbuhay,100553013,50224,n,0,paraan ng pamumuhay,1,None
51419,trabaho,100553013,50223,n,0,paraan ng pamumuhay,1,None
51419,trabaho,100584367,52818,n,0,propesyon na kung saan ikaw ay kumikita,1,Position
53524,obra,100584367,52817,n,0,propesyon na kung saan ikaw ay kumikita,1,Position
53525,gawain,100584367,52819,n,0,propesyon na kung saan ikaw ay kumikita,1,Position
51418,matibay,301086211,50361,a,0,mahirap sirain,1,None
51521,makunat,301086211,50360,a,0,mahirap sirain,1,None
51418,matibay,301973490,50222,a,0,hindi mabilis sirain,1,None
51417,matatag,301973490,50221,a,0,hindi mabilis sirain,1,None
51418,matibay,302275412,62308,s,0,hindi madaling masira,17,SubjectiveAssessmentAttribute
51416,matanda,301592230,50220,s,0,matagal na nagbubuhay,1,None
51415,may-edad,301592230,50219,s,0,matagal na nagbubuhay,1,None
51413,okey,302011116,50217,s,0,sumasangayon,1,None
51414,oo,302011116,50218,s,0,sumasangayon,1,None
51412,lengguwahe,105899749,50216,n,0,ginagamit ng mga tao para makipagusap,1,None
51411,wika,105899749,50215,n,0,ginagamit ng mga tao para makipagusap,1,None
51410,panganib,113711152,50214,n,0,hindi maganda situwasyon,1,None
51409,delikado,113711152,50213,n,0,hindi maganda situwasyon,1,None
51408,sagip,202475565,50417,v,0,ilayo sa delikado,1,None
51407,ligtas,202475565,50416,v,0,ilayo sa delikado,1,None
51408,sagip,100086821,50212,n,0,ilayo muna sa delikado,1,None
51407,ligtas,100086821,50211,n,0,ilayo muna sa delikado,1,None
51406,tomboy,109526953,50210,n,0,lalaki na naging babae,1,None
51405,tibo,109526953,50209,n,0,lalaki na naging babae,1,None
51402,bading,109526953,50206,n,0,lalaki na naging babae,1,None
51401,bakla,109526953,50205,n,0,lalaki na naging babae,1,None
51404,takot,109008600,50208,n,0,mahina loob,1,None
51403,duwag,109008600,50207,n,0,mahina loob,1,None
51404,takot,201779165,54377,v,37,nagdudulot ng pangamba,1,IntentionalPsychologicalProcess
54765,malungkot,201779165,54376,v,37,nagdudulot ng pangamba,1,IntentionalPsychologicalProcess
51404,takot,114381416,56631,n,0,isang pisolohikal na pag iisip na takot sa isang bagay,1,PsychologicalDysfunction
51404,takot,300077645,62000,a,0,napupuno ng takot o pangamba,9,Anxiety
51403,duwag,300265314,52004,s,0,mabilis matakot,1,SubjectiveAssessmentAttribute
52751,pusong manok,300265314,52003,s,0,mabilis matakot,1,SubjectiveAssessmentAttribute
51403,duwag,110335563,61936,n,18,taog tahimik o takot,1,Mouse
61254,torpe,110335563,61935,n,18,taog tahimik o takot,1,Mouse
51400,masidhi,202429697,50202,v,0,pinapagawa ang isang bagay na ayaw,1,None
51399,mapilit,202429697,50201,v,0,pinapagawa ang isang bagay na ayaw,1,None
51399,mapilit,302327569,52090,s,0,matigas ang ulo,1,Canine
52833,maukilkil,302327569,52091,s,0,matigas ang ulo,1,Canine
52834,matiyaga,302327569,52092,s,0,matigas ang ulo,1,Canine
51399,mapilit,400235701,52094,r,0,hindi sumusuko,1,SubjectiveAssessmentAttribute
52835,makulit,400235701,52093,r,0,hindi sumusuko,1,SubjectiveAssessmentAttribute
51399,mapilit,300596043,52102,s,0,hindi humuhupa at hindi marunong mapagod sa hangarin,1,SubjectiveAssessmentAttribute
52835,makulit,300596043,52101,s,0,hindi humuhupa at hindi marunong mapagod sa hangarin,1,SubjectiveAssessmentAttribute
51398,ganoon,301361053,50200,s,0,tulad -tinutukoy sa bagay na kapareho,1,None
51397,tulad,301361053,50199,s,0,tulad -tinutukoy sa bagay na kapareho,1,None
51396,maingay,301858689,50198,a,0,marami sinasabi,1,None
51395,madaldal,301858689,50197,a,0,marami sinasabi,1,None
51396,maingay,400069901,62081,r,2,may medyo mataas na lakas ng tunog,9,SubjectiveAssessmentAttribute
54769,malakas,400069901,62080,r,2,may medyo mataas na lakas ng tunog,9,SubjectiveAssessmentAttribute
51394,istorbo,106973913,50196,n,0,bagay na pinapabagal ang isang gawain,1,None
51393,abala,106973913,50195,n,0,bagay na pinapabagal ang isang gawain,1,None
51392,mabanas,301203484,50194,a,0,mataas ang temperatura,1,None
51391,mainit,301203484,50193,a,0,mataas ang temperatura,1,None
51390,bugso,202010968,50192,v,0,tuloy tuloy na pagbagsak ng liquate,1,None
51389,buhos,202010968,50191,v,0,tuloy tuloy na pagbagsak ng liquate,1,None
51388,kamanghamangha,301235758,50190,a,0,nakakagulat ang gawain,1,None
51387,kagilagilalas,301235758,50189,a,0,nakakagulat ang gawain,1,None
51386,subalit,400121710,50188,r,0,kontra,1,None
48508,Peru,400121710,50187,r,0,kontra,1,None
51385,pasarin,200725770,50186,v,0,dadag kahirapan sa paligid,1,None
51384,pabigat,200725770,50185,v,0,dadag kahirapan sa paligid,1,None
51383,maikli,301387615,50184,a,0,limitado na sukat,1,None
51382,maliit,301387615,50183,a,0,limitado na sukat,1,None
48356,maiksi,301387615,50317,a,0,limitado na sukat,1,None
51382,maliit,113773725,61344,n,23,isang maliit na bagay,1,SubjectiveAssessmentAttribute
60789,iota,113773725,61345,n,23,isang maliit na bagay,1,SubjectiveAssessmentAttribute
51380,maaraw,300434922,50181,s,0,maliit na panahon,1,None
51381,masikat,300434922,50182,s,0,maliit na panahon,1,None
51379,lagi,400019245,50180,r,0,madalas na ginagawa,1,None
51378,parati,400019245,50179,r,0,madalas na ginagawa,1,None
51378,parati,400019757,62109,r,2,sa anumang oras o sa anumang pangyayari,9,SubjectiveAssessmentAttribute
61386,palagi,400019757,62108,r,2,sa anumang oras o sa anumang pangyayari,9,SubjectiveAssessmentAttribute
51377,bihira,400035976,50178,r,0,hindi madalas ginagawa,1,None
51376,minsan,400035976,50177,r,0,hindi madalas ginagawa,1,None
51375,tirahan,108037383,50175,n,0,"proteksyon na pang karaniwan residensya sa tao, pamilya or sambahayan",1,None
51374,tahanan,108037383,50174,n,0,"proteksyon na pang karaniwan residensya sa tao, pamilya or sambahayan",1,None
51301,bahay,108037383,50176,n,0,"proteksyon na pang karaniwan residensya sa tao, pamilya or sambahayan",1,None
51375,tirahan,108558963,53042,n,0,address na kung saan ikaw ay naninirahan,1,address
53735,residensiya,108558963,53041,n,0,address na kung saan ikaw ay naninirahan,1,address
51373,imahen,103782824,50172,n,0,"representasyon ng tao,hayop or bagay",1,None
51102,larawan,103782824,50173,n,0,"representasyon ng tao,hayop or bagay",1,None
51373,imahen,103931044,54348,n,0,isang nakikitang representasyon,1,Icon
51101,letrato,103931044,49848,n,0,isang nakikitang representasyon,1,Icon
51372,magaaral,109970518,50171,n,0,isang tao kung sino gusto matuto sa isang bagay,1,None
51371,estudyante,109970518,50170,n,0,isang tao kung sino gusto matuto sa isang bagay,1,None
51370,tagaturo,109997151,50169,n,0,isang tao kung sino nagtuturo sa isang estudyante,1,None
51369,tagasanay,109997151,50168,n,0,isang tao kung sino nagtuturo sa isang estudyante,1,None
51368,paaralan,107776854,50167,n,0,institusyon kung saan nag aaral ang mga tao,1,None
51367,eskuwela,107776854,50166,n,0,institusyon kung saan nag aaral ang mga tao,1,None
51366,kuwaderno,106016916,50164,n,0,papel na ginagamit para magsulat ng mga paratandaan,1,None
48319,talaan,106016916,50165,n,0,papel na ginagamit para magsulat ng mga paratandaan,1,None
51365,suweldo,112523352,50163,n,0,pera na natatanggpa matapos sa trabaho,1,None
51364,sahod,112523352,50162,n,0,pera na natatanggpa matapos sa trabaho,1,None
51363,lamig,302440731,50161,a,0,pakiramdam ng mababang temperature,1,None
51362,ginaw,302440731,50160,a,0,pakiramdam ng mababang temperature,1,None
51361,makislap,301752397,50159,a,0,liwanag na nakakasakit sa mata,1,None
51360,makinang,301752397,50158,a,0,liwanag na nakakasakit sa mata,1,None
51359,tapon,201466080,50155,v,0,ibalibag ang mga bagay sa pamamagitan ng paabante ng kamay,1,None
51358,bato,201466080,50154,v,0,ibalibag ang mga bagay sa pamamagitan ng paabante ng kamay,1,None
51311,hagis,201466080,50153,v,0,ibalibag ang mga bagay sa pamamagitan ng paabante ng kamay,1,None
51358,bato,108824564,50380,n,0,bagay na sintigas o hawig sa bato,1,None
51358,bato,108743611,50379,n,0,sakit sa kidney,1,None
51358,bato,109416076,54398,n,17,matigas na bukol ng mineral,1,Rock
51357,usap,201036205,50152,v,0,bigkasin ang wika gamit ang bibig,1,None
50999,salita,201036205,50151,v,0,bigkasin ang wika gamit ang bibig,1,None
51356,magaling,301082189,50149,a,0,kapuri-puri ang mga gawain ng isang tao,1,None
51036,mahusay,301082189,50150,a,0,kapuri-puri ang mga gawain ng isang tao,1,None
51355,tsaga,300723449,50148,a,0,magtrabaho ng magsigla at tapat,1,None
49826,sipag,300723449,50147,a,0,magtrabaho ng magsigla at tapat,1,None
51354,pandak,109398417,50146,n,0,maliit na tao,1,None
51353,unano,109398417,50145,n,0,maliit na tao,1,None
51352,bansot,109398417,50144,n,0,maliit na tao,1,None
51351,alingasaw,301011127,50141,s,0,hindi magandang amoy,1,None
51350,baho,301011127,50140,s,0,hindi magandang amoy,1,None
51349,bantot,301011127,50139,s,0,hindi magandang amoy,1,None
51348,mapakla,302311830,50136,a,0,"isa siya sa apat na lasa hindi tamis, alat, or asim",1,None
51347,mapait,302311830,50135,a,0,"isa siya sa apat na lasa hindi tamis, alat, or asim",1,None
51347,mapait,104994824,51913,n,7,pagkakaroon ng hindi kanais-nais na lasa,1,TasteAttribute
52682,pait,104994824,51914,n,7,pagkakaroon ng hindi kanais-nais na lasa,1,TasteAttribute
51347,mapait,105717115,53127,n,9,lasa ng kape,1,TasteAttribute
53781,matapang,105717115,53128,n,9,lasa ng kape,1,TasteAttribute
51346,pigil,202623605,50134,v,0,pahabain ang nararamdaman,1,None
51345,tiis,202623605,50133,v,0,pahabain ang nararamdaman,1,None
51344,pigat,301315532,50132,a,0,apektado ng mga hindi magandang pangyayari,1,None
48325,lungkot,301315532,50131,a,0,apektado ng mga hindi magandang pangyayari,1,None
51343,gala,201788806,50130,v,0,paglalakad sa labas para marelax,1,None
50886,pasyal,201788806,50129,v,0,paglalakad sa labas para marelax,1,None
51342,tawa,200027956,50128,v,0,pahiwatig ng mukha para mailabas yung kasiyahan mo,1,None
48426,ngiti,200027956,50127,v,0,pahiwatig ng mukha para mailabas yung kasiyahan mo,1,None
51342,tawa,106878404,54331,n,10,expresyon sa mukha ng taong tumatawa,1,BodyMotion
54739,halakhak,106878404,54332,n,10,expresyon sa mukha ng taong tumatawa,1,BodyMotion
51341,ligaya,301105974,50126,a,0,oras na nagsisiyahan ang isang tao,1,None
51340,saya,301105974,50124,a,0,oras na nagsisiyahan ang isang tao,1,None
51339,tuwa,301105974,50123,a,0,oras na nagsisiyahan ang isang tao,1,None
50195,galak,301105974,50125,a,0,oras na nagsisiyahan ang isang tao,1,None
51341,ligaya,301048406,53250,s,0,markado ng suwerte,1,SubjectiveAssessmentAttribute
51340,saya,301048406,53248,s,0,markado ng suwerte,1,SubjectiveAssessmentAttribute
50195,galak,301048406,53249,s,0,markado ng suwerte,1,SubjectiveAssessmentAttribute
51338,taba,300947943,50122,a,0,marami malambot na kulumpo sa katawan,1,None
51337,ubus,200470712,50120,v,0,oras na natagumpay ka sa isang gawain,1,None
51336,tapos,200470712,50119,v,0,oras na natagumpay ka sa isang gawain,1,None
48280,wakas,200470712,50118,v,0,oras na natagumpay ka sa isang gawain,1,None
51337,ubus,302433451,52084,s,0,wala na enerhiya dahil sa sobra pagod,1,StateOfMind
50253,pagod,302433451,52083,s,0,wala na enerhiya dahil sa sobra pagod,1,StateOfMind
51335,lamun,201132466,50117,v,0,ipasok sa bibig tapos lunokin para may sustansya ang katawan,1,None
51334,kain,201132466,50116,v,0,ipasok sa bibig tapos lunokin para may sustansya ang katawan,1,None
51333,banat,201374696,50115,v,0,gamit ang kamao para makasakit ng tao,1,None
51332,sapag,201374696,50114,v,0,gamit ang kamao para makasakit ng tao,1,None
51331,suntok,201374696,50113,v,0,gamit ang kamao para makasakit ng tao,1,None
51331,suntok,100135148,57599,n,4,banat ng kamay,1,Impacting
51330,layas,300419838,50110,s,0,lumayo sa lugar na tinatayohan,1,None
51329,alis,300419838,50109,s,0,lumayo sa lugar na tinatayohan,1,None
51328,dali,300718531,50107,a,0,ang gagawin ay tinapos sa maiksi na oras,1,None
48294,bilis,300718531,50108,a,0,ang gagawin ay tinapos sa maiksi na oras,1,None
51328,dali,110921218,56070,n,0,pintor sa Espanyol (1904-1989),1,Human
56245,salvador dali,110921218,56071,n,0,pintor sa Espanyol (1904-1989),1,Human
51327,hinaharap,114265057,50106,n,0,oras na manyayari sa darating na panahon,1,None
51326,kinabukasan,114265057,50105,n,0,oras na manyayari sa darating na panahon,1,None
51325,sisiw,101711406,50104,n,0,batang manok,1,None
51324,dati,114264367,50103,n,0,oras na nanyari sa lumang panahon,1,None
51323,noong,114264367,50102,n,0,oras na nanyari sa lumang panahon,1,None
51322,palikuran,103866797,50101,n,0,kwarto para maglabas ng dumi sa katawan or para magayos,1,None
51321,banyo,103866797,50100,n,0,kwarto para maglabas ng dumi sa katawan or para magayos,1,None
51320,ebak,114009025,50098,n,0,paglabas ng dumi sa katawan,1,None
50837,tae,114009025,50099,n,0,paglabas ng dumi sa katawan,1,None
51319,aklat,106013091,50093,n,0,maraming papel na magkasama para makabuo ng isang katotohanan or hindi katotohanan na kwento,1,None
51318,libro,106013091,50092,n,0,maraming papel na magkasama para makabuo ng isang katotohanan or hindi katotohanan na kwento,1,None
51319,aklat,106410904,51052,n,0,anumang manuskrito o limbag na manuskritog binigkis at nilagyan ng proteksiyong pabalat,1,Book
51318,libro,106410904,51051,n,0,anumang manuskrito o limbag na manuskritog binigkis at nilagyan ng proteksiyong pabalat,1,Book
51319,aklat,106394865,51053,n,0,isang dibisyon sa mahabang komposisyon,1,subsumesContentClass
51319,aklat,102870092,54370,n,6,isang bagay na binubuo ng mga pahina,1,Book
51317,perpume,103768340,50091,n,0,ginagamit para makaroon ng amoy,1,None
51316,pabango,103768340,50090,n,0,ginagamit para makaroon ng amoy,1,None
51316,pabango,103916031,60361,n,0,ginagamit sa katawan para bumango ito,1,Solution
51315,tainga,105014060,50089,n,0,parte ng katawan para makarinig ng kung ano ano,1,None
51315,tainga,105320899,54367,n,8,bahagi ng katawan na ginagamit pang-dinig,1,Ear
51314,kamukha,104048149,50268,n,0,pareho ang itsura,1,None
51313,hawig,104048149,50269,n,0,pareho ang itsura,1,None
51314,kamukha,301410606,50088,a,0,may pagkapareho ng mukha,1,SubjectiveAssessmentAttribute
51313,hawig,301410606,50087,a,0,may pagkapareho ng mukha,1,SubjectiveAssessmentAttribute
51312,tama,300601792,50138,s,0,walang labis walang kulang,1,None
51052,eksakto,300601792,50137,s,0,walang labis walang kulang,1,None
51312,tama,300631391,50085,a,0,walang bahid ng mali,1,True
51054,wasto,300631391,50086,a,0,walang bahid ng mali,1,True
51312,tama,300631798,62072,s,0,"walang kulang, walang labis",16,True
51054,wasto,300631798,62073,s,0,"walang kulang, walang labis",16,True
51053,tumpak,300631798,62075,s,0,"walang kulang, walang labis",16,True
49532,ganap,300631798,62077,s,0,"walang kulang, walang labis",16,True
61359,husto,300631798,62074,s,0,"walang kulang, walang labis",16,True
61360,lapat,300631798,62076,s,0,"walang kulang, walang labis",16,True
51311,hagis,201508368,50084,v,0,ibato sa ere,1,Impelling
61572,umilandang,201508368,62428,v,0,ibato sa ere,1,Impelling
51310,bitag,108804164,50591,n,0,a na susukat na butas (madalas sa lupa),1,None
48256,hukay,108804164,50590,n,0,a na susukat na butas (madalas sa lupa),1,None
51310,bitag,104474466,50083,n,0,isang gamit o konstraksyon na nagsisilbi bilang pang huli sa hayop o tao,1,TrapOrCage
51309,bura,200479391,50082,v,0,pag aalis sa isang bagay ng tuluyan,1,Removing
49732,tanggal,200479391,50081,v,0,pag aalis sa isang bagay ng tuluyan,1,Removing
51308,laglag,106910750,50310,n,0,bumitaw pababa ang isang gamit,1,None
51479,hulog,106910750,50309,n,0,bumitaw pababa ang isang gamit,1,None
51308,laglag,201977701,50080,v,0,paghulog sa lupa,1,MotionDownward
51307,dugtong,201354673,50079,v,0,pagdugtong ng dawalang bagay,1,Attaching
48196,kabit,201354673,46536,v,0,pagdugtong ng dawalang bagay,1,Attaching
48195,konek,201354673,46535,v,0,pagdugtong ng dawalang bagay,1,Attaching
51306,pader,104546855,50078,n,0,isang konstraksyon na merong haba na mas malaki ang sukat kaysa sa kanyang lapad na ginagamit bilang pangharang o bilang parte ng bahay/gusali,1,Wall
51305,hampas,101173038,50077,n,0,isang malakas na palo gamit ang kamao o kahit anong armas,1,Impacting
51304,pansinin,202154508,50076,v,0,"Pag diskubre sa isang lokasyon, bagay, o tao",1,Discovering
51303,tuklas,202154508,50074,v,0,"Pag diskubre sa isang lokasyon, bagay, o tao",1,Discovering
51187,hanapin,202154508,50075,v,0,"Pag diskubre sa isang lokasyon, bagay, o tao",1,Discovering
51302,insekto,102159955,50073,n,0,"isang hayop na nagtataglay ng katawan na nahahati sa talo (ulo, thorax, at abdomen), meron tatlong pares ng paa, at kadalasan nagtataglay din ng dalawang pares ng pakpak",1,Insect
51301,bahay,103544360,50072,n,0,Lugar na ginagamit bilang tirahan ng isa o maraming pamilya,1,House
51300,karo,102958343,50071,n,0,"Uri ng transportasyon pang-lupa, nagtataglay ng apat na gulong",1,Automobile
51299,oto,102958343,50069,n,0,"Uri ng transportasyon pang-lupa, nagtataglay ng apat na gulong",1,Automobile
51298,kotse,102958343,50068,n,0,"Uri ng transportasyon pang-lupa, nagtataglay ng apat na gulong",1,Automobile
49691,bagon,102958343,50070,n,0,"Uri ng transportasyon pang-lupa, nagtataglay ng apat na gulong",1,Automobile
