channel_title,channel_id,upload_id
cong_tv,UC73zqrs0Th_a9dFUivEmv2A,UU73zqrs0Th_a9dFUivEmv2A
slater_young,UCbwa4A6i0elG4WZGY7HRnKw,UUbwa4A6i0elG4WZGY7HRnKw
kryzzzie,UCyzvjriEiCVgLieY5Aesw1g,UUyzvjriEiCVgLieY5Aesw1g
alodia_gosiengfiao,UC66eoP3j29OuCIM0-K9RnsA,UU66eoP3j29OuCIM0-K9RnsA
rei_germar,UCMBfVjLDAebugEphxl9m_Eg,UUMBfVjLDAebugEphxl9m_Eg
ry_velasco,UCYCcIV0fYbg_tduACSWD_tQ,UUYCcIV0fYbg_tduACSWD_tQ
anna_cay,UCmre3CPYmzcMlVCaFUzkaag,UUmre3CPYmzcMlVCaFUzkaag
anne_clutz,UCDGdRHdLtV7VS_nWg9C2RVA,UUDGdRHdLtV7VS_nWg9C2RVA
anneclutzvlogs,UCiM0PLvHvQNWMLZd3ewo3Yg,UUiM0PLvHvQNWMLZd3ewo3Yg
itsclaudineco,UCylA3YhDqkmvD_RNJWMJw9w,UUylA3YhDqkmvD_RNJWMJw9w
abs_cbn_news,UCE2606prvXQc_noEqKxVJXA,UUE2606prvXQc_noEqKxVJXA
abs_cbn_entertainment,UCstEtN0pgOmCf02EdXsGChw,UUstEtN0pgOmCf02EdXsGChw
alliana_dolina,UCW_pGzpPJjLM9S_6A8d2pEg,UUW_pGzpPJjLM9S_6A8d2pEg
donnalyn_bartolome,UCVwvPcaag7ubJPn1gOClDvQ,UUVwvPcaag7ubJPn1gOClDvQ
akosi_dogie,UC2LB3AyQ4q2rAk5x1HDDT0g,UU2LB3AyQ4q2rAk5x1HDDT0g
carlo_ople,UCcHRUtEO1xAuhGFoaorY8pA,UUcHRUtEO1xAuhGFoaorY8pA
oliver_austria,UCHHYB05slIGQR5NT92EPr5g,UUHHYB05slIGQR5NT92EPr5g
kenny_manalad,UCUfSt4SOmHr2h-sJrjh3jNw,UUUfSt4SOmHr2h-sJrjh3jNw
doc_willie_ong,UCR6n79EOdY406JlZD8FEgyg,UUR6n79EOdY406JlZD8FEgyg
rendon_labador,UCEeNakY3REgET4iyvilkKrw,UUEeNakY3REgET4iyvilkKrw
kiko_matos,UCj5RwDivLksanrNvkW0FB4w,UUj5RwDivLksanrNvkW0FB4w
mika_salamanca,UCvBZCUDKjwuUb7mHOucfxMQ,UUvBZCUDKjwuUb7mHOucfxMQ
presello,UCxyLwHwz15uVeXpZjsV1Y2A,UUxyLwHwz15uVeXpZjsV1Y2A
alex_gonzaga_official,UC6N-9Wh0DYhDI8sQS7jwjVA,UU6N-9Wh0DYhDI8sQS7jwjVA
h2wo,UCrkRZBY5gbzQikJy3ny93Qw,UUrkRZBY5gbzQikJy3ny93Qw
shinejonzoief2p,UCIDrkxe4tIbnOO3fnxod2QA,UUIDrkxe4tIbnOO3fnxod2QA
junnie_boy,UCqK69ICpVVyghYDvKew0MGg,UUqK69ICpVVyghYDvKew0MGg
benedict_cua,UCamgTpaqgAo1Pt0-xzKwNiQ,UUamgTpaqgAo1Pt0-xzKwNiQ
toni_gonzaga_studio,UCgTar4TrvIBvrlMdPUgbFfg,UUgTar4TrvIBvrlMdPUgbFfg
tryke_gutierrez,UCaaafI2Dg3nVthVR8NO9cSA,UUaaafI2Dg3nVthVR8NO9cSA
reccreate,UCpZdK-V4x1b2TFzFBKwGztw,UUpZdK-V4x1b2TFzFBKwGztw
bermor,UCZnLPVBE7_IHxLU1kMStEkg,UUZnLPVBE7_IHxLU1kMStEkg
rj_jacinto,UCDy816y_jEQvCoZI8St7zUw,UUDy816y_jEQvCoZI8St7zUw
xtian_c,UCZnt8Eo6_NehRA0d1DxMV4g,UUZnt8Eo6_NehRA0d1DxMV4g
fliptopbattles,UCBdHwFIE4AJWSa3Wxdu7bAQ,UUBdHwFIE4AJWSa3Wxdu7bAQ
panlasang_pinoy,UCIjw46txjW6oD4NU6FHaj_w,UUIjw46txjW6oD4NU6FHaj_w
bea_alonzo,UC1ebx44DwOCzCSePqJIdC_g,UU1ebx44DwOCzCSePqJIdC_g
karl_jolice_tv,UC6GJqZUpIYvMlShyCS93Ymg,UU6GJqZUpIYvMlShyCS93Ymg
dubstep,UC_vDF8pbCIR8gaAxXAAH7Og,UU_vDF8pbCIR8gaAxXAAH7Og
front_seat_foodies,UCMlMOnas_-nkOZEE7lXcl9w,UUMlMOnas_-nkOZEE7lXcl9w
nisky,UCFBZpT14W2Ze5BcUiaCjpTw,UUFBZpT14W2Ze5BcUiaCjpTw
ninong_ry,UCvQrjgLj841wiQAKDgtKFOw,UUvQrjgLj841wiQAKDgtKFOw
gma_public_affairs,UCj5RwDivLksanrNvkW0FB4w,UUj5RwDivLksanrNvkW0FB4w
raffy_tulfo_in_action,UCxhygwqQ1ZMoBGQM2yEcNug,UUxhygwqQ1ZMoBGQM2yEcNug
bonoy_pinty_gonzaga,UCgPhgn8BkNYG0dNyyIlYvGg,UUgPhgn8BkNYG0dNyyIlYvGg
leti_sha,UCWkVgfMFZkJLQ6uB113Xq1A,UUWkVgfMFZkJLQ6uB113Xq1A
wish_1075,UCdfq8-581QVUtVsa8ChVnDQ,UUdfq8-581QVUtVsa8ChVnDQ
homesearch_philippines,UCImDJsVokH_ubtj8KyXV_XA,UUImDJsVokH_ubtj8KyXV_XA
kiyo,UCav0nXblupOoPZ9H1aczGvA,UUav0nXblupOoPZ9H1aczGvA
ben&ben,UCD2HT__OY6xzj-YbnAXJhfA,UUD2HT__OY6xzj-YbnAXJhfA
vice_ganda,UCZ1PkXDIb_ybGu-3cxMm6oQ,UUZ1PkXDIb_ybGu-3cxMm6oQ
jah_de_dios,UCQSZeCNVg-QX4km8HXRYkLw,UUQSZeCNVg-QX4km8HXRYkLw
araw_na_itim_tagalog_animated_horror,UC40ed2Fp3t64Wl-7y-zWLcA,UU40ed2Fp3t64Wl-7y-zWLcA
paolul,UCy4llDkj3BpWxbbr5SC4JhA,UUy4llDkj3BpWxbbr5SC4JhA
mavs_phenomenal_basketball,UC312w6Cin5kXvBemaH2YA8A,UU312w6Cin5kXvBemaH2YA8A
jonahrenz_jacob,UClpg_KauikrVbMj2wTV9LRQ,UUlpg_KauikrVbMj2wTV9LRQ
sb19_official,UCm4v7afBTnJKRm4SlfHJzyg,UUm4v7afBTnJKRm4SlfHJzyg
karla_cayabyab,UCqXL9_al2xCpSHx7pdT8zHA,UUqXL9_al2xCpSHx7pdT8zHA
mocha_uson_official,UCYViyC6f59WtGhAe6oTwV5Q,UUYViyC6f59WtGhAe6oTwV5Q
leni_robredo,UCvlZWzCZfRb1PZcpU21Sp5Q,UUvlZWzCZfRb1PZcpU21Sp5Q
jinkee_pacquiao,UCak4MJyPpRugLm1ZiTCEf9A,UUak4MJyPpRugLm1ZiTCEf9A
team_pacquiao,UCImAKdGFvaZbTSZcNUT5w_w,UUImAKdGFvaZbTSZcNUT5w_w
bongbong_marcos,UCqgTKnYIeu4DNXGN5fBCY9Q,UUqgTKnYIeu4DNXGN5fBCY9Q
karen_davila,UCTkK4ODg5Qp8Q_yNFukZy4g,UUTkK4ODg5Qp8Q_yNFukZy4g
rappler,UCdnZdQxYXnbN4uWJg96oGxw,UUdnZdQxYXnbN4uWJg96oGxw
isko_moreno_domagoso,UC_YLvp5wH274pgpnfMTRK6A,UU_YLvp5wH274pgpnfMTRK6A
kuya_kim_atienza,UCrRm8cHb3Cs4owaLLhz-pjQ,UUrRm8cHb3Cs4owaLLhz-pjQ
euphoniaco_tv,UCx17NmEaQvep5uAsQ9Tpwgw,UUx17NmEaQvep5uAsQ9Tpwgw
kathryn_bernardo,UCHNfOV1Ou9KYYAjFGbwFILA,UUHNfOV1Ou9KYYAjFGbwFILA
viva_records,UCS09CkK8fjPJ_nHD6fcGMSw,UUS09CkK8fjPJ_nHD6fcGMSw
dr._vicki_belo,UCAoXKDcKgI9cSQBwqmqT6yw,UUAoXKDcKgI9cSQBwqmqT6yw
schizo_pelma_tv,UCXHF2I3R1FF1ug2BvAvnh1w,UUXHF2I3R1FF1ug2BvAvnh1w
joyce_pring,UC96QOiKwuV7fqoazF_Ttk7g,UU96QOiKwuV7fqoazF_Ttk7g
nicole_alba,UCUj-tp2hyRWp_MacdEXiZdw,UUUj-tp2hyRWp_MacdEXiZdw
juancho_trivino,UCl6lFy1LmIAFcLsSuKgKtKg,UUl6lFy1LmIAFcLsSuKgKtKg
yow,UCznibittbFHbwdDd5Fy01yQ,UUznibittbFHbwdDd5Fy01yQ
latest_scoop,UC14odOLi6wFg4ivNlLi3CIw,UU14odOLi6wFg4ivNlLi3CIw
mimiyuuuh,UCP8eztbhAp7_928o3ng8rmQ,UUP8eztbhAp7_928o3ng8rmQ
marjorie_barretto,UC6n3RlwWIzhpgYdzo06DeJw,UU6n3RlwWIzhpgYdzo06DeJw
tiktok_pinas,UClGhAqjCiB34o_XYsS_RViQ,UUlGhAqjCiB34o_XYsS_RViQ
tiktok_philippines,UCZSc3T4QS4ElK4uWX7C67bg,UUZSc3T4QS4ElK4uWX7C67bg
erwin_tulfo,UCN2Kp857uc0aYvgoYqWQiXg,UUN2Kp857uc0aYvgoYqWQiXg
luis_azcona_sharlene_menu,UC9DbTB87CCG5GEpbLA5tjRA,UU9DbTB87CCG5GEpbLA5tjRA
pinoy_knows_tech,UCGfDLBSzWw8e9hjQ5YjRghA,UUGfDLBSzWw8e9hjQ5YjRghA
eat_bulaga,UCi623vUlmMZGgZbVcmzHc7Q,UUi623vUlmMZGgZbVcmzHc7Q
kusina_ni_lola,UCSRBLSjMqhsseq_ApAAW_OQ,UUSRBLSjMqhsseq_ApAAW_OQ
beebuyog,UC3Ir6UQsfdG_5LAebS47tPw,UU3Ir6UQsfdG_5LAebS47tPw
alvin_tries_tech,UCHDrwKDMbmL0MRkjORBYGtQ,UUHDrwKDMbmL0MRkjORBYGtQ
unbox_ph,UCt6xOMDuZiuufKq-41js66Q,UUt6xOMDuZiuufKq-41js66Q
sulit_tech_reviews,UCa8g_5cRhATCMNMI7xlLJzQ,UUa8g_5cRhATCMNMI7xlLJzQ
choox_tv,UC2OaBXso9ZDAdAx9lW2FqZA,UU2OaBXso9ZDAdAx9lW2FqZA
pepesan_tv,UC2dxiip2L5FipdwX2i93MKw,UU2dxiip2L5FipdwX2i93MKw
olip_tv,UCShXjOA5oXnfiHooVbcYmdQ,UUShXjOA5oXnfiHooVbcYmdQ
khent_bernardo,UCqnlunTOOY5SbEGwhN1Lcpg,UUqnlunTOOY5SbEGwhN1Lcpg
the_juans,UCCtXr8HiqtdeJQLfzn4rUVw,UUCtXr8HiqtdeJQLfzn4rUVw
clr,UCPViebZxIF7X5jk_R4F6Y9g,UUPViebZxIF7X5jk_R4F6Y9g
richard_gomez,UCFSRvEGsAyouuy5JowsZ5Gw,UUFSRvEGsAyouuy5JowsZ5Gw
pinoy_mystery_channel,UCPblqj7fY0Dr8CNFoR3g4eQ,UUPblqj7fY0Dr8CNFoR3g4eQ
tinagalog,UCoy1i2lmidpXRK_UypZsiOg,UUoy1i2lmidpXRK_UypZsiOg
historya_channel,UCoQ7jpr1txhyypSojDfSlnQ,UUoQ7jpr1txhyypSojDfSlnQ
hazel_quing,UCsX2Ofw6A21wqwM9ZvFxTUA,UUsX2Ofw6A21wqwM9ZvFxTUA
ivana_alawa,UCypeLkg3Ne5-LIyiB41b1GQ,UUypeLkg3Ne5-LIyiB41b1GQ
niana_guerrero,UCLysbxhOO_JPOPgcsPCMb8w,UULysbxhOO_JPOPgcsPCMb8w
zeinab_harake,UC-j7tR3DhEt85EM9HbvxXqA,UU-j7tR3DhEt85EM9HbvxXqA
jelai_andres,UC4lJaJEW1PIbd3DWHD_lVoQ,UU4lJaJEW1PIbd3DWHD_lVoQ
ramon_bautista,UCzGm59ypyimxtJruTiEbfmg,UUzGm59ypyimxtJruTiEbfmg
empoy_official,UCgc78sPZ0QkuqIyL4cJUYJA,UUgc78sPZ0QkuqIyL4cJUYJA
kuya_jobert_tv,UCd7TjOAlv8YypUeFC2Qu-cg,UUd7TjOAlv8YypUeFC2Qu-cg
gretchen_ho,UC6X_kgqf0m9oiZGR6W4eEPQ,UU6X_kgqf0m9oiZGR6W4eEPQ
tv5_philippines,UCiFx0kZFjR29u0uJxTSq5MQ,UUiFx0kZFjR29u0uJxTSq5MQ
luis_manzano,UC2i4SXzaaFpYduoNzebwQSw,UU2i4SXzaaFpYduoNzebwQSw
